NULL	3244
0	2
1	57
2	220
3	170
4	146
5	132
6	95
7	133
8	136
9	113
10	74
11	92
12	100
13	95
14	66
15	81
16	71
17	56
18	57
19	46
20	43
21	45
22	43
23	32
24	28
25	55
26	43
27	46
28	45
29	54
30	27
31	27
32	59
33	38
34	32
35	39
36	29
37	36
38	32
39	33
40	47
41	23
42	29
43	31
44	39
45	32
46	28
47	21
48	42
49	31
50	84
55	99
60	134
65	91
70	146
75	54
80	110
85	71
90	94
95	49
100	143
110	115
120	70
130	77
138	1
140	112
150	96
160	55
170	58
180	56
190	40
200	43
210	41
220	42
230	58
240	57
250	1073
260	211
270	50
280	15
290	7
300	2
722	3682
