NULL	68894
0	48
1	259
2	1562
3	1536
4	1103
5	1806
6	1228
7	1573
8	1702
9	1182
10	782
11	1143
12	1107
13	848
14	725
15	733
16	883
17	696
18	649
19	682
20	509
21	777
22	550
23	436
24	377
25	720
26	508
27	755
28	545
29	714
30	283
31	309
32	615
33	597
34	422
35	520
36	320
37	638
38	480
39	419
40	691
41	331
42	477
43	417
44	593
45	443
46	507
47	283
48	736
49	590
50	1333
55	1445
60	2189
65	1437
70	2239
75	904
80	1750
85	946
90	1473
95	712
100	1956
110	1165
120	806
130	927
138	10
140	1505
150	1202
160	836
170	963
180	594
190	683
200	581
210	609
220	552
230	772
240	815
250	19134
260	3806
270	950
280	348
290	167
300	36
722	59986
