129	4	46	0	NULL
27	2	2	0	0
191	3	15	0	10
720	8	70	0	20
953	11	173	1	30
1323	20	335	0	40
2140	23	750	3	50
1751	36	845	2	60
1846	18	1218	3	70
945	8	786	5	80
56	0	39	1	90
