NULL	129	4	46	0	858	9
0	706	11	287	1	2844	13
5	3314	54	1398	2	12502	28
10	2982	33	1390	8	11018	23
15	1694	16	789	2	5950	17
20	977	12	302	2	3002	4
25	200	2	54	0	609	1
30	78	1	12	0	192	0
35	1	0	1	0	2	0
